en,ar,section
"Polydextrose, Polyvinyl Alcohol, Pregelatinized Starch,",جل,dosage_form
Contraindications,مضادات الاستطبابات,header
Warnings,التحذيرات,header
Side Effects,الآثار الجانبية,header
Pregnancy and Lactation,الحمل والإرضاع,header
Dosage and Administration,الجرعة وطريقة الاستعمال,header
- do not use more than 6 tablets in any 24‐hour period unless,أقراص,dosage_form
Packaging,التغليف,header
"2 Blisters, each contains 10 film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
(Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
HAMAPHARMA/LEAF/CONVAL (Film-Coated Tablets)  Size: (138 x 160 mm),أقراص ملبسة بالفيلم,dosage_form
