en,ar,section
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
DRUG INTERACTIONS,التداخلات الدوائية,header
SIDE EFFECTS,الآثار الجانبية,header
Adults and children 12 years and older: 2 tablets every 4 hours. Do not exceed,أقراص,dosage_form
10 tablets in 24 hours.,أقراص,dosage_form
OVERDOSE,فرط الجرعة,header
"PACKAGING: 2 blisters, each contains 10 film-coated tablets /carton box.",أقراص ملبسة بالفيلم,dosage_form
ORFAM  (Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
– HAMAPHARMA/LEAF/ORFAM (Film-Coated Tablets)          size (230x160mm),أقراص ملبسة بالفيلم,dosage_form
