en,ar,section
– HAMAPHARMA/LEAF/ZYBIAX (Capsules)  (Size: 270 x 240 mm),كبسولات,dosage_form
"Excipients: Pregelatinized starch, Dimethicone, Sodium lauryl sulfate.",جل,dosage_form
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
DRUG INTERACTIONS,التداخلات الدوائية,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
"Packaging: (2) blisters, each one contains 10 capsules/ carton box.",كبسولات,dosage_form
ZYBIAX   (Capsules),كبسولات,dosage_form
– HAMAPHARMA/LEAF/ZYBIAX (Capsules)  (Size: 270 x 240 mm),كبسولات,dosage_form
